source,date,text,rating,url
play_store,2026-06-19T07:53:38+00:00,the best,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:52:45+00:00,"Spotify has increased their prices too much. Request to bring back the price. I had switched to apple music. it provides affordable listening experience. with lossless music. but the suggestions in Spotify is good that i feel like coming back, if the cost is affordable",1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:52:20+00:00,"Basically everything it seems in the app at some point is blocked behind a paywall or just blocked in total like shuffle options and stuff like that, and 6 skips an hour? thats just bs. Prolly one of the only negative reviews and please FIX THE XBOX VERSION ITS SO BROKEN I DONT UNDERSTAND HOW YALL MADE IT!?!?!",2,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:48:52+00:00,New widget is terrible and they force it on you.,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:48:11+00:00,Spotify is dope!,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:47:39+00:00,aplikasi bagus tpi iklannya banyak bgt,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:47:06+00:00,Your new widget doesn't work on my phone but you keep overwriting the old one with update messages so now I use YouTube Music. Good job. edit: nothing helped. It's the king of bloat.,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:41:33+00:00,Listening to music on Spotify is much better than listening to music on YouTube.,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:39:32+00:00,Great still after 5 years.,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:24:26+00:00,10/10 do recommend. it has every song that I like,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:23:28+00:00,so cool!,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:22:31+00:00,"I pay for Spotify. When it gets updated I loose liked songs. It's song types like ""rock"" or country or something like that is completely random for what it classifies as a style. I gave a very critical review of this app before but no surprise the review disappeared. I'm actually going to stop paying for this app, they don't pay the artists for the songs, increase how much I have to pay and I loose my likes and play lists so seriously why would I pay for something that doesn't deliver?",1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:22:25+00:00,why remove the small widget? No one wants half their screen taken up,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:22:07+00:00,التطبيق حلو جدا بس للأسف انا مش عارف اشحن البريميوم لا عن طريق الفيزا ولا محفظة اورانج كاش مع انه مكتوب انهم طرق فعاله ف بسبب كدا مش عارف استفيد بالعروض نهائياً بسبب انى مش عارف اشحنه فارجوا ان المشكله دى تتحل ...,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:19:41+00:00,"Ever since the latest update, the app keeps crashing. I'm paying for Spotify, so if they don't fix this soon, I'll have to move on to YouTube, which is a shame, since all my music is organized on Spotify.",1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:16:16+00:00,Couldn't live without Spotify,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:11:30+00:00,Great music app if your willing to pay. lots of settings to make your music sound good but one thing it randomly stops playing music and loads for like 5 min or more. and Its not my internet cause I had 4 bars of cell service.,4,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:09:56+00:00,Use to be the best but now with the dj and enhanced shuffle and other annoying things i cant trun off adds more lag as well as an increase in issues and problems with the app. So much irrelevant stuff now on the main page and I can't even find new music from artists that I follow anymore seems like a basic thing that should have stayed in the app No clue why they got rid of it but the moves that they're making make me want to move to a completely different music app rather than paying for this.,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T07:04:36+00:00,I'm a premium user Spotify deleting my downloaded song and I'll download again thru the still do same thing,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:59:33+00:00,amazing,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:57:56+00:00,Wonderful,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:49:33+00:00,good,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:48:56+00:00,Nice on Premium Though,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:48:51+00:00,"(6.18.26) Currently they are overpricing everything they can in order to make as much money, they thing the writing is on the wall and want to make as much as they can before they bow out. In addition to outrageous pricing the app consistantly WILL NOT work despite 5G and or a stable wifi connection. Spotify used to be great but now that they are becoming more AI reliant their app is disintegrating, maybe worth a download however Im not sure if theyve fixed the amt of ads they would play.",3,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:41:06+00:00,"Yall update the app and now I can't listen to music anymore? App constantly crashes when I try to play music, not even getting through a whole song before crash. why do I bother paying yall a subscription fee if I can't use the damn service",1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:36:01+00:00,this is the best up everrr,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:31:53+00:00,love how Spotify creates nice albums according your preference,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:30:45+00:00,got rid of the 1x3 widget for no reason. I don't want to use half my screen for the 2x high widget. Honestly makes the whole experience so much worse. Edit: despite Spotify's response it still sucks. can't go forward or back.,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:24:58+00:00,app is garbage. 1500 songs in a play list and it will only play 50. NO support. Now I try and track up and it automatically goes back and starts the previous song. All while charging you more in condescending emails. I actually hate the app,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:23:59+00:00,Ive used the old widget 4 years n had no issue with it I used the widget more then the app shortcut when even i would just open the app when they came out with the new widget I had no interest in switching over cause I liked how the old one 1x4 worked n the new one was a 2x4 widget cause it gave you the option to open a Playlist I had no interest in the so I didnt switch now they forced me to switch now when I use the widget to open it im brought to a Playlist not the home screen i cant stand it,2,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:20:02+00:00,I love to listen to music almost every day,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:17:19+00:00,"Spotify is absolutely top rate when it comes to streaming all genres of music. And as far as prices go, you can't beat the quality & pricing that you get at Spotify. I refuse to use anything but Spotify !!!!!",5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:12:33+00:00,Excellent,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:06:04+00:00,ads n ads n adssssss thosee disgusting adss... always keep begging for subscribing to premium in them ..,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T06:04:40+00:00,Dope 🔥🔥🔥🔥🔥🔥,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:55:50+00:00,exllent,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:50:43+00:00,Great app one of the apps I've been using constantly every day for more than a year. update: my god!!!!! wow I will use it also without premium. ima broke PhD sociologist the maTRIXXXXX theme song intensifies LATVIAAAAA! GOD SAVE LATVIA ⋙⛤꠲⛤⋘,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:50:22+00:00,love Spotify ❤️,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:49:32+00:00,magical 🤏🏽,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:41:39+00:00,these adds are so out of hand every 3 listens they give u 2 adds its annoying.,2,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:41:01+00:00,this is such a good app. love it,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:38:57+00:00,good😍,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:37:42+00:00,really good music app,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:36:58+00:00,"i rather listen from youtube , too much spotify prremium ad",1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:35:14+00:00,"I can find all the music I like, pay the subscription and you will not regret.",5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:34:26+00:00,"I love Spotify, but since this new update it has been so buggy that I can't even listen to 10 seconds of a song before it's kicking me off explaining that there is bugs detected in Spotify so for this reason only I will give 2 stars please fix the problem and I will amend this to 5 stars thank you",2,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:32:14+00:00,bomb yo,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:31:50+00:00,Meh...I accidentally removed my daughter from my family plan and haven't been able to put her back on for days.,4,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:30:29+00:00,everything is behind a pay wall yes theirs some features but you have to pay for everything especially if you want to shuffle songs 🤦🏻‍♂️,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:30:04+00:00,love love love,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:25:54+00:00,seriously we cannot rewind the song what the hell is this,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:11:04+00:00,love it,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:08:50+00:00,"i cant play the SONGS IN ORDER. when i click on to playlists, the only thing i can choose is a short clip of the song like come on man, choosing should be a basic feature. but the thing is that this is not a prob in phones ig. This problem is in my tab I aint gonna hear any music from this app anymore. Youtube music is much better than this",1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:03:32+00:00,Video playback is broken for podcasts,1,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T05:02:48+00:00,best music app,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T04:58:33+00:00,"Used to be my favorite app for listening to music, but not anymore. There are ads more than before, and the amount of features they've locked behind premium is absurd. Can't even listen to the same song twice consecutively without premium. Spotify is becoming a cash grab.",2,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T04:58:22+00:00,absolutely wonderful,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T04:48:32+00:00,Awesome way to find new music. The layout is awesome. Love it The best music app out there.,5,https://play.google.com/store/apps/details?id=com.spotify.music
play_store,2026-06-19T04:48:27+00:00,"This app is genuinely one of the bests for music, so why ruin it? why make it almost impossible to use? how come , that I have ads every 4 songs? and the ads? 12 seconds each and 4 or even more; in the end I'm just listening to the ads than the songs I want to hear. Just make people pay for the app already, since that's what is really going to happen if everything is really slowly becoming a premium feature.",1,https://play.google.com/store/apps/details?id=com.spotify.music
